Target  ▾	RA	DEC	Sp. Type	T_eff [K]	B [mag]	V [mag]	G [mag]	Dist [pc]	Explore data	Data products (ascii)	Data products (csv)
HIP6276	01:20:32.2680	-11:28:03.728	G9V	5301.5	9.190	8.390	8.225	35.33	GLS Plot	HIP6276_harps_all-data_v1.dat	HIP6276_harps_all-data_v1.csv
HIP63157	12:56:30.0762	-24:55:31.713	K5.5Vk	4342.5	11.380	10.029	9.545	31.10	GLS Plot	HIP63157_harps_all-data_v1.dat	HIP63157_harps_all-data_v1.csv
HIP63719	13:03:27.5306	-24:25:12.124	Fwl:	6110.0	10.430	10.040	9.868	181.92	GLS Plot	HIP63719_harps_all-data_v1.dat	HIP63719_harps_all-data_v1.csv
HIP64428	13:12:20.9117	-23:20:06.431	K3.5Vk:	N/A	10.850	9.770	9.424	39.67	GLS Plot	HIP64428_harps_all-data_v1.dat	HIP64428_harps_all-data_v1.csv
HIP65924	13:30:52.5845	-32:37:48.596	K8V	N/A	12.820	11.480	10.832	40.76	GLS Plot	HIP65924_harps_all-data_v1.dat	HIP65924_harps_all-data_v1.csv
HIP65956	13:31:22.3107	-18:04:00.493	K5V	4537.5	11.000	9.840	9.507	36.66	GLS Plot	HIP65956_harps_all-data_v1.dat	HIP65956_harps_all-data_v1.csv
HIP6639	01:25:09.4883	-01:03:34.855	K3	N/A	10.520	9.470	9.116	31.86	GLS Plot	HIP6639_harps_all-data_v1.dat	HIP6639_harps_all-data_v1.csv
HIP66678	13:40:08.4202	-66:20:21.509	K6.5V	4116.1	11.800	10.490	9.869	34.68	GLS Plot	HIP66678_harps_all-data_v1.dat	HIP66678_harps_all-data_v1.csv
HIP66918	13:42:50.5390	-21:42:41.262	K6Vk:	N/A	11.290	10.170	9.595	33.90	GLS Plot	HIP66918_harps_all-data_v1.dat	HIP66918_harps_all-data_v1.csv
HIP67126	13:45:28.2477	-58:38:42.219	M0	N/A	10.890	9.590	9.500	39.72	GLS Plot	HIP67126_harps_all-data_v1.dat	HIP67126_harps_all-data_v1.csv
HIP67164	13:45:50.7149	-17:58:05.610	dM3.5	N/A	13.423	11.872	10.595	11.21	GLS Plot	HIP67164_harps_all-data_v1.dat	HIP67164_harps_all-data_v1.csv
HIP68900	14:06:24.2651	-16:12:46.611	K3V	N/A	11.140	10.100	9.691	40.16	GLS Plot	HIP68900_harps_all-data_v1.dat	HIP68900_harps_all-data_v1.csv
HIP69224	14:10:21.7263	-44:58:45.514	K1	N/A	10.000	9.580	9.372	49.44	GLS Plot	HIP69224_harps_all-data_v1.dat	HIP69224_harps_all-data_v1.csv
HIP69570	14:14:24.8264	-48:08:47.893	G5V	5727.4	8.890	8.230	8.046	37.84	GLS Plot	HIP69570_harps_all-data_v1.dat	HIP69570_harps_all-data_v1.csv
HIP69929	14:18:38.2580	-18:42:57.482	ApSi(Cr)	8843.5	5.900	5.900	5.844	78.47	GLS Plot	HIP69929_harps_all-data_v1.dat	HIP69929_harps_all-data_v1.csv
HIP70317	14:23:11.5424	-08:06:58.614	K5	N/A	11.050	9.920	9.434	35.04	GLS Plot	HIP70317_harps_all-data_v1.dat	HIP70317_harps_all-data_v1.csv
HIP70475	14:24:55.9840	+08:53:15.449	M3V	N/A	13.860	12.257	11.095	12.97	GLS Plot	HIP70475_harps_all-data_v1.dat	HIP70475_harps_all-data_v1.csv
HIP7058	01:30:58.5825	-48:52:16.651	K5-V	N/A	11.301	10.140	9.751	39.42	GLS Plot	HIP7058_harps_all-data_v1.dat	HIP7058_harps_all-data_v1.csv
HIP70681	14:27:24.9096	-18:24:40.457	G3V	N/A	9.939	9.535	9.114	56.24	GLS Plot	HIP70681_harps_all-data_v1.dat	HIP70681_harps_all-data_v1.csv
HIP70975	14:31:01.1605	-12:17:45.948	dM3.5	N/A	13.490	11.903	10.662	10.86	GLS Plot	HIP70975_harps_all-data_v1.dat	HIP70975_harps_all-data_v1.csv
HIP71253	14:34:16.8115	-12:31:10.417	M3.5V	N/A	12.915	11.317	9.879	6.25	GLS Plot	HIP71253_harps_all-data_v1.dat	HIP71253_harps_all-data_v1.csv
HIP7228	01:33:09.1251	-24:54:51.627	K6V	4463.0	11.230	10.063	9.563	35.35	GLS Plot	HIP7228_harps_all-data_v1.dat	HIP7228_harps_all-data_v1.csv
HIP72378	14:47:57.5552	-26:38:46.195	B9.5V	9414.8	5.751	5.764	5.732	143.86	GLS Plot	HIP72378_harps_all-data_v1.dat	HIP72378_harps_all-data_v1.csv
HIP72779	14:52:37.0820	-25:27:17.151	G5V	5670.0	8.600	7.870	7.712	51.78	GLS Plot	HIP72779_harps_all-data_v1.dat	HIP72779_harps_all-data_v1.csv
HIP73194	14:57:33.2709	-06:19:48.898	M0	4040.2	12.650	11.479	10.744	37.72	GLS Plot	HIP73194_harps_all-data_v1.dat	HIP73194_harps_all-data_v1.csv
HIP74190	15:09:35.5922	+03:10:00.551	M2V	N/A	12.986	11.473	10.368	14.60	GLS Plot	HIP74190_harps_all-data_v1.dat	HIP74190_harps_all-data_v1.csv
HIP7588	01:37:42.8454	-57:14:12.310	B6Vpe	N/A	0.300	0.460	nan	nan	GLS Plot	HIP7588_harps_all-data_v1.dat	HIP7588_harps_all-data_v1.csv
HIP7646	01:38:29.9413	+00:39:05.721	M2.5V	N/A	13.080	11.562	10.644	20.74	GLS Plot	HIP7646_harps_all-data_v1.dat	HIP7646_harps_all-data_v1.csv
HIP76550	15:38:02.3482	-21:19:09.040	K7Vp	N/A	12.000	13.161	10.734	38.00	GLS Plot	HIP76550_harps_all-data_v1.dat	HIP76550_harps_all-data_v1.csv
HIP76668	15:39:21.9129	-10:16:23.866	K5V	4720.0	11.300	10.200	9.748	51.34	GLS Plot	HIP76668_harps_all-data_v1.dat	HIP76668_harps_all-data_v1.csv
HIP78242	15:58:32.6459	-30:26:48.422	K0	N/A	10.560	9.690	9.436	58.03	GLS Plot	HIP78242_harps_all-data_v1.dat	HIP78242_harps_all-data_v1.csv
HIP7829	01:40:44.2345	-49:13:54.106	K6Vk:	N/A	11.450	10.190	9.672	32.41	GLS Plot	HIP7829_harps_all-data_v1.dat	HIP7829_harps_all-data_v1.csv
HIP78345	15:59:49.5107	-36:28:27.903	K3e	4447.7	12.060	11.120	10.783	86.62	GLS Plot	HIP78345_harps_all-data_v1.dat	HIP78345_harps_all-data_v1.csv
HIP78395	16:00:16.4970	-01:47:55.633	K6V	4243.6	11.500	10.248	9.757	30.67	GLS Plot	HIP78395_harps_all-data_v1.dat	HIP78395_harps_all-data_v1.csv
HIP78408	16:00:23.0015	-45:27:09.938	G5IV	5600.0	8.250	7.510	7.346	66.02	GLS Plot	HIP78408_harps_all-data_v1.dat	HIP78408_harps_all-data_v1.csv
HIP79578	16:14:11.9123	-31:39:49.208	G3V	N/A	7.210	6.540	6.381	22.21	GLS Plot	HIP79578_harps_all-data_v1.dat	HIP79578_harps_all-data_v1.csv
HIP80018	16:20:03.5086	-37:31:44.468	N/A	N/A	nan	nan	nan	8.34	GLS Plot	HIP80018_harps_all-data_v1.dat	HIP80018_harps_all-data_v1.csv
HIP80083	16:20:40.5915	-17:38:58.756	K4	N/A	12.000	13.341	10.875	47.94	GLS Plot	HIP80083_harps_all-data_v1.dat	HIP80083_harps_all-data_v1.csv
HIP80683	16:28:21.2770	-31:07:50.972	K2.5V	4903.7	9.700	8.730	8.400	28.08	GLS Plot	HIP80683_harps_all-data_v1.dat	HIP80683_harps_all-data_v1.csv
